LegacyID,LoadCount,LegacyDescription,ProposedBase,Source,Service,ProposedDisplay,Flags
399,6,2" MINUS (SEMO),2" MINUS,SEMO,,2" MINUS (SEMO),
463,6,LOADING DIRT,DIRT,,HAULING,DIRT (HAULING),
464,6,WASHED 1" OPEN (DEXTER),WASHED 1" OPEN,DEXTER,,WASHED 1" OPEN (DEXTER),
501,6,1" MINUS (BLUEWING-VB),1" MINUS,BLUEWING-VB,,1" MINUS (BLUEWING-VB),
30,5,BUSTED CONCRETE,BUSTED CONCRETE,,,BUSTED CONCRETE,
32,5,RED LIME (SCAGGS),RED LIME,SCAGGS,,RED LIME (SCAGGS),
178,5,PEA GRAVEL,PEA GRAVEL,,,PEA GRAVEL,
180,5,1" MINUS (SHOP),1" MINUS,,,1" MINUS,context_tag:SHOP
194,5,1/2" MINUS (BASEROCK),1/2" MINUS,BASEROCK,,1/2" MINUS (BASEROCK),
210,5,DIRT (PITS),DIRT,PITS,,DIRT (PITS),
229,5,3" MINUS,3" MINUS,,,3" MINUS,
243,5,90# RIP RAP (CQ),90# RIP RAP,CQ,,90# RIP RAP (CQ),
254,5,2" CLEAN (VBS),2" CLEAN,VBS,,2" CLEAN (VBS),
286,5,2 1/2" LATERAL (ICM-DNPHN),2 1/2" LATERAL,ICM-DNPHN,,2 1/2" LATERAL (ICM-DNPHN),
320,5,SAND (WS),SAND,WS,,SAND (WS),
348,5,AGLIME (SPREADING ONLY)By The Acre,AGLIME,,SPREADING,AGLIME (SPREADING),billing_note:BY_THE_ACRE
351,5,HOURLY (WASTE ROCK),WASTE ROCK,,HOURLY,WASTE ROCK (HOURLY),
408,5,HOURLY (COLD MIX),COLD MIX,,HOURLY,COLD MIX (HOURLY),
411,5,GYPSUM (Prairie State),GYPSUM,PRAIRIE STATE,,GYPSUM (PRAIRIE STATE),
471,5,GABION STONE (BLUEWING),GABION STONE,BLUEWING,,GABION STONE (BLUEWING),
499,5,Hourly(RipRap),RIPRAP,,HOURLY,RIPRAP (HOURLY),
511,5,TOPSOIL (ICM),TOPSOIL,ICM,,TOPSOIL (ICM),
25,4,1" CLEAN,1" CLEAN,,,1" CLEAN,
64,4,1" BASE (SHOP),1" BASE,,,1" BASE,context_tag:SHOP
66,4,HOURLY (DIRT HAUL OFF),DIRT HAUL OFF,,HOURLY,DIRT HAUL OFF (HOURLY),
78,4,3/4" CLEAN (ARAB),3/4" CLEAN,ARAB,,3/4" CLEAN (ARAB),
95,4,1/2" CLEAN (SEMO),1/2" CLEAN,SEMO,,1/2" CLEAN (SEMO),
99,4,HOURLY (MAINTENANCE),MAINTENANCE,,HOURLY,MAINTENANCE (HOURLY),
112,4,MULCH,MULCH,,,MULCH,
132,4,SHOW UP,SHOW UP,,,SHOW UP,
148,4,HOURLY (ENTRANCES),ENTRANCES,,HOURLY,ENTRANCES (HOURLY),
149,4,ASPAHLT SAND (STATE),ASPHALT SAND,,,ASPHALT SAND,context_tag:STATE
155,4,AGLIME (HEARTLAND) (VBR),AGLIME,HEARTLAND,,AGLIME (HEARTLAND),context_tag:VBR
158,4,AGLIME (SCAGGS),AGLIME,SCAGGS,,AGLIME (SCAGGS),
164,4,MORTAR SAND (BRENDAKAY),MORTAR SAND,BRENDAKAY,,MORTAR SAND (BRENDAKAY),
206,4,2 1/2" CLEAN (ARAB),2 1/2" CLEAN,ARAB,,2 1/2" CLEAN (ARAB),
223,4,HOURLY (SKIDSTEER),SKIDSTEER,,HOURLY,SKIDSTEER (HOURLY),
225,4,2" CLEAN BLACK (BUTLER HILL),2" CLEAN BLACK,BUTLER HILL,,2" CLEAN BLACK (BUTLER HILL),
241,4,D. BALLAST,D. BALLAST,,,D. BALLAST,
312,4,CC FEE (3%),CC FEE,,,CC FEE,spec_tag:3%
328,4,MOVING LAB TRAILER,MOVING LAB TRAILER,,,MOVING LAB TRAILER,
405,4,3" CLEAN (SEMO),3" CLEAN,SEMO,,3" CLEAN (SEMO),
424,4,3" CLEAN (BLUEWING),3" CLEAN,BLUEWING,,3" CLEAN (BLUEWING),
442,4,2" MINUS (STOCKPILE),2" MINUS,,,2" MINUS,context_tag:STOCKPILE
469,4,HOURLY HOLD TIME ,HOLD TIME,,HOURLY,HOLD TIME (HOURLY),
486,4,3" MINUS (BLUEWING),3" MINUS,BLUEWING,,3" MINUS (BLUEWING),
47,3,SAWDUST,SAWDUST,,,SAWDUST,
67,3,HOURLY (CONCRETE),CONCRETE,,HOURLY,CONCRETE (HOURLY),
100,3,FILL SAND,FILL SAND,,,FILL SAND,
108,3,WASTE ROCK,WASTE ROCK,,,WASTE ROCK,
110,3,2" BASE (CAPITAL),2" BASE,CAPITAL,,2" BASE (CAPITAL),
114,3,FILL SAND (WS),FILL SAND,WS,,FILL SAND (WS),
117,3,1" MINUS GRAY (ARAB),1" MINUS GRAY,ARAB,,1" MINUS GRAY (ARAB),
118,3,LANDSCAPE BLEND (BRENDA) 1 1/8,LANDSCAPE BLEND,BRENDA,,LANDSCAPE BLEND (BRENDA),unhandled_trailing:1 1/8
125,3,FR 1/4" MINUS (SEMO),FR 1/4" MINUS,SEMO,,FR 1/4" MINUS (SEMO),
129,3,WASTE CONCRETE (SEMO CONCRETE),WASTE CONCRETE,SEMO CONCRETE,,WASTE CONCRETE (SEMO CONCRETE),
131,3,PLANT MOVE,PLANT MOVE,,,PLANT MOVE,
135,3,DIRT (SAND PIT),DIRT,SAND PIT,,DIRT (SAND PIT),
137,3,SKID STEER WORK,SKID STEER WORK,,,SKID STEER WORK,
150,3,ASPAHLT SAND (STATE) (BRENDA KAY),ASPHALT SAND,BRENDA KAY,,ASPHALT SAND (BRENDA KAY),context_tag:STATE
168,3,400# RIP RAP,400# RIP RAP,,,400# RIP RAP,
175,3,RIP RAP #400 (SEMO),RIP RAP #400,SEMO,,RIP RAP #400 (SEMO),
185,3,HOURLY (CONCRETE HAUL OFF),CONCRETE HAUL OFF,,HOURLY,CONCRETE HAUL OFF (HOURLY),
192,3,TYPE 2 DITCH LINER (ARAB),TYPE 2 DITCH LINER,ARAB,,TYPE 2 DITCH LINER (ARAB),
203,3,1" MINUS (WS & STRACK),1" MINUS,WS & STRACK,,1" MINUS (WS & STRACK),
212,3,3" CLEAN (CC),3" CLEAN,CC,,3" CLEAN (CC),
237,3,EXCAVATOR WORK,EXCAVATOR WORK,,,EXCAVATOR WORK,
246,3,2" MINUS,2" MINUS,,,2" MINUS,
273,3,GYPSUM,GYPSUM,,,GYPSUM,
274,3,AG LIME (STRACK-RED),AG LIME,STRACK-RED,,AG LIME (STRACK-RED),
284,3,1" C (BACKHAUL),1" C,,HAUL BACK,1" C (HAUL BACK),
292,3,SAND (MALDEN),SAND,MALDEN,,SAND (MALDEN),
344,3,HOURLY (CLEAN UP PLANT),CLEAN UP PLANT,,HOURLY,CLEAN UP PLANT (HOURLY),
364,3,HOURLY  MILL DRIVEWAYS,MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
368,3,HOURLY REJECTED LOAD ,REJECTED LOAD,,HOURLY,REJECTED LOAD (HOURLY),
369,3,HOURLY MAN SAND,MAN SAND,,HOURLY,MAN SAND (HOURLY),
370,3,1" BASE COLT,1" BASE COLT,,,1" BASE COLT,
389,3,WOOD CHIPS/MULCH (ELLSINORE),WOOD CHIPS/MULCH,ELLSINORE,,WOOD CHIPS/MULCH (ELLSINORE),
419,3,SHINGLES (WEST PLAINS),SHINGLES,WEST PLAINS,,SHINGLES (WEST PLAINS),
425,3,3/8" CLEAN (FRUITLAND ASPHALT),3/8" CLEAN,FRUITLAND ASPHALT,,3/8" CLEAN (FRUITLAND ASPHALT),
433,3,OVERSIZE GRAVEL(BLUEWING),OVERSIZE GRAVEL,BLUEWING,,OVERSIZE GRAVEL (BLUEWING),
453,3,HOURLY (MILLING-SHOULDERS),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
460,3,HOURLY (SHOULDERS/RAMPS),SHOULDERS/RAMPS,,HOURLY,SHOULDERS/RAMPS (HOURLY),
481,3,HOURLY (SAND) FARMINGTON,SAND,FARMINGTON,HOURLY,SAND (FARMINGTON) (HOURLY),
484,3,HOURLY (SHINGLES) FARMINGTON,SHINGLES,FARMINGTON,HOURLY,SHINGLES (FARMINGTON) (HOURLY),
24,2,1/2" MINUS,1/2" MINUS,,,1/2" MINUS,
35,2,MASONARY SAND (BK),MASONRY SAND,BK,,MASONRY SAND (BK),
36,2,OVERSIZED WASH GRAVEL,OVERSIZED WASH GRAVEL,,,OVERSIZED WASH GRAVEL,
41,2,HOURLY (1" BASE),1" BASE,,HOURLY,1" BASE (HOURLY),
46,2,GRAVEL,GRAVEL,,,GRAVEL,
89,2,HOURLY (COLD MIX/HAUL BACK),COLD MIX/HAUL BACK,,HOURLY,COLD MIX/HAUL BACK (HOURLY),
90,2,LANDSCAPE BLEND (BRENDA),LANDSCAPE BLEND,BRENDA,,LANDSCAPE BLEND (BRENDA),
115,2,HOURLY (MOVING),MOVING,,HOURLY,MOVING (HOURLY),
142,2,3/4",3/4",,,3/4",
143,2,3/8",3/8",,,3/8",
146,2,1" MINUS (SEMO STONE),1" MINUS,SEMO STONE,,1" MINUS (SEMO STONE),
160,2,GABION 4-6",GABION 4-6",,,GABION 4-6",
190,2,SCRAP CONCRETE,SCRAP CONCRETE,,,SCRAP CONCRETE,
209,2,6" CLEAN COM TRAP (BUTLERHILL),6" CLEAN COM TRAP,BUTLERHILL,,6" CLEAN COM TRAP (BUTLERHILL),
213,2,LANDSCAPE BLEND,LANDSCAPE BLEND,,,LANDSCAPE BLEND,
217,2,3/8" PUGMILL AGGREGATE,3/8" PUGMILL AGGREGATE,,,3/8" PUGMILL AGGREGATE,
235,2,1/2" CLEAN,1/2" CLEAN,,,1/2" CLEAN,
250,2,RIPRAP (CC),RIPRAP,CC,,RIPRAP (CC),
251,2,FILL SAND (BRENDA KAY),FILL SAND,BRENDA KAY,,FILL SAND (BRENDA KAY),
253,2,2" BASE (VBS),2" BASE,VBS,,2" BASE (VBS),
269,2,6-8" RIP RAP (GH),6-8" RIP RAP,GH,,6-8" RIP RAP (GH),
272,2,CONCRETE SAND (DEXTER),CONCRETE SAND,DEXTER,,CONCRETE SAND (DEXTER),
275,2,200# RIP RAP,200# RIP RAP,,,200# RIP RAP,
302,2,ADJUSTMENT-PMT,ADJUSTMENT-PMT,,,ADJUSTMENT-PMT,
303,2,SHINGLES (PB),SHINGLES,PB,,SHINGLES (PB),
306,2,1.5" GRAVEL (BK),1.5" GRAVEL,BK,,1.5" GRAVEL (BK),
314,2,WASTE CONCRETE,WASTE CONCRETE,,,WASTE CONCRETE,
321,2,HOURLY (ENDDUMP),ENDDUMP,,HOURLY,ENDDUMP (HOURLY),
327,2,SHOT ROCK HALED TO ARAB,SHOT ROCK HALED TO ARAB,,,SHOT ROCK HALED TO ARAB,
346,2,HOURLY (BRIDGE WORK),BRIDGE WORK,,HOURLY,BRIDGE WORK (HOURLY),
359,2,3/4" DIRTY BASE (GADS HILL),3/4" DIRTY BASE,GADS HILL,,3/4" DIRTY BASE (GADS HILL),
361,2,HOURLY ASPHALT SIDE ROADS,ASPHALT,,HOURLY,ASPHALT (HOURLY),
384,2,DRIVE TIME (PER KYLE),DRIVE TIME,PER KYLE,,DRIVE TIME (PER KYLE),
390,2,HOURLY (Stockpile),STOCKPILE,,HOURLY,STOCKPILE (HOURLY),
391,2,HOURLY (PLANT CLEAN OUT),PLANT CLEAN OUT,,HOURLY,PLANT CLEAN OUT (HOURLY),
435,2,HOURLY HAULING,HAULING,,HOURLY,HAULING (HOURLY),
449,2,2" MINUS (BASE ROCK),2" MINUS,BASE ROCK,,2" MINUS (BASE ROCK),
466,2,HOURLY (RAMP MATERIAL),RAMP MATERIAL,,HOURLY,RAMP MATERIAL (HOURLY),
485,2,ASPHALT (DELTA DEXTER),ASPHALT,DELTA DEXTER,,ASPHALT (DELTA DEXTER),
497,2,HAULING (ROCK),GENERAL,ROCK,HAULING,GENERAL (ROCK) (HAULING),
500,2,AG LIME (FISCHER QUARRY),AG LIME,FISCHER QUARRY,,AG LIME (FISCHER QUARRY),
517,2,HOURLY (INTERSECTION REPAIR),INTERSECTION REPAIR,,HOURLY,INTERSECTION REPAIR (HOURLY),
8,1,SAND (CERTAINTEED),SAND,CERTAINTEED,,SAND (CERTAINTEED),
19,1,2 2" MINUS (WS),2 2" MINUS,WS,,2 2" MINUS (WS),
27,1,1" CLEAN (SHOP),1" CLEAN,,,1" CLEAN,context_tag:SHOP
31,1,3" CLEAN (ARAB),3" CLEAN,ARAB,,3" CLEAN (ARAB),
39,1,TYPE 5 (FISCHER),TYPE 5,FISCHER,,TYPE 5 (FISCHER),
44,1,RIP RAP (#90),RIP RAP #90,,,RIP RAP #90,
50,1,ROCK FROM STOCKPILE,ROCK FROM STOCKPILE,,,ROCK FROM STOCKPILE,
54,1,SAND (FRUITLAND ASPHALT),SAND,FRUITLAND ASPHALT,,SAND (FRUITLAND ASPHALT),
68,1,MIX,MIX,,,MIX,
73,1,GABION 4X6 (BR),GABION 4X6,BR,,GABION 4X6 (BR),
77,1,CHAT,CHAT,,,CHAT,
79,1,3/8" CLEAN (ARAB),3/8" CLEAN,ARAB,,3/8" CLEAN (ARAB),
84,1,TOPSOIL (WS),TOPSOIL,WS,,TOPSOIL (WS),
91,1,HOURLY (MILL AND INTERSECTIONS),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
92,1,WASH MANUFACTURED (TRAP),WASH MANUFACTURED,TRAP,,WASH MANUFACTURED (TRAP),
96,1,CLEAN UP,CLEAN UP,,,CLEAN UP,
103,1,3/8" CLEAN 3/4" CLEAN,3/8" CLEAN 3/4" CLEAN,,,3/8" CLEAN 3/4" CLEAN,
113,1,HOURLY (GABION STONE),GABION STONE,,HOURLY,GABION STONE (HOURLY),
121,1,HOURLY (DRY ROCK),DRY ROCK,,HOURLY,DRY ROCK (HOURLY),
124,1,MILLINGS ESS PLANT SITE 25,MILLINGS ESS PLANT SITE 25,,,MILLINGS ESS PLANT SITE 25,
127,1,FR 1/2" (SEMO),FR 1/2",SEMO,,FR 1/2" (SEMO),
128,1,OVERSIZE LANDSCAPE GRAVEL,OVERSIZE LANDSCAPE GRAVEL,,,OVERSIZE LANDSCAPE GRAVEL,
136,1,6" MINUS/HAULING ONLY,6" MINUS/HAULING ONLY,,HAULING,6" MINUS/HAULING ONLY (HAULING),
139,1,ROCK (CANE CREEK),ROCK,CANE CREEK,,ROCK (CANE CREEK),
153,1,HOURLY (OVER 20 TON),OVER 20 TON,,HOURLY,OVER 20 TON (HOURLY),
154,1,HOURLY (UNDER 18 TON),UNDER 18 TON,,HOURLY,UNDER 18 TON (HOURLY),
156,1,AGLIME (SPREADING AND HAULING) (STRAIGHT),AGLIME,,HAULING AND SPREADING,AGLIME (HAULING AND SPREADING),context_tag:STRAIGHT
162,1,ROCK (BUTLER),ROCK,BUTLER,,ROCK (BUTLER),
163,1,ROCK (STOCKPILE),ROCK,,,ROCK,context_tag:STOCKPILE
170,1,R400,R400,,,R400,
171,1,ASPHALT (BUTLERHILL),ASPHALT,BUTLERHILL,,ASPHALT (BUTLERHILL),
172,1,R400 (ARAB),R400,ARAB,,R400 (ARAB),
173,1,1/2" CLASS,1/2" CLASS,,,1/2" CLASS,
174,1,RIP RAP #400,RIP RAP #400,,,RIP RAP #400,
183,1,DIRT (SHOP),DIRT,,,DIRT,context_tag:SHOP
191,1,MASONARY SAND (DEXTER),MASONRY SAND,DEXTER,,MASONRY SAND (DEXTER),
193,1,6" CLEAN COM TRAP,6" CLEAN COM TRAP,,,6" CLEAN COM TRAP,
195,1,OTHER,OTHER,,,OTHER,
196,1,HOURLY (SHINGLE GRINDER MOVE),SHINGLE GRINDER MOVE,,HOURLY,SHINGLE GRINDER MOVE (HOURLY),
197,1,1" CLEAN (HEARTLAND),1" CLEAN,HEARTLAND,,1" CLEAN (HEARTLAND),
198,1,1/2" MINUS COMM BASE (HL),1/2" MINUS COMM BASE,HL,,1/2" MINUS COMM BASE (HL),
199,1,MATERIAL (WS),MATERIAL,WS,,MATERIAL (WS),generic_MATERIAL_with_source
200,1,MATERIAL (BRENDAKAY),MATERIAL,BRENDAKAY,,MATERIAL (BRENDAKAY),generic_MATERIAL_with_source
201,1,MATERIAL (HEARTLAND),MATERIAL,HEARTLAND,,MATERIAL (HEARTLAND),generic_MATERIAL_with_source
202,1,MATERIAL (ARAB),MATERIAL,ARAB,,MATERIAL (ARAB),generic_MATERIAL_with_source
204,1,POTASH (DYERSBURG),POTASH,DYERSBURG,,POTASH (DYERSBURG),
208,1,1/2" M (BASEROCK),1/2" M,BASEROCK,,1/2" M (BASEROCK),
214,1,AGLIME (WS) (SANDP),AGLIME,WS,,AGLIME (WS),context_tag:SANDP
216,1,6" CLEAN (CQ),6" CLEAN,CQ,,6" CLEAN (CQ),
219,1,ASPAHLT (ESS),ASPHALT,ESS,,ASPHALT (ESS),
220,1,OVERSIZED WASH GRAVEL (WS),OVERSIZED WASH GRAVEL,WS,,OVERSIZED WASH GRAVEL (WS),
224,1,HOURLY (ROCK),ROCK,,HOURLY,ROCK (HOURLY),
228,1,3" CLEAN,3" CLEAN,,,3" CLEAN,
234,1,CREEK GRAVEL (WS),CREEK GRAVEL,WS,,CREEK GRAVEL (WS),
245,1,COLD MIX (WS),COLD MIX,WS,,COLD MIX (WS),
248,1,GUMBO,GUMBO,,,GUMBO,
287,1,1" M (BACKHAUL),1" M,,HAUL BACK,1" M (HAUL BACK),
294,1,1" CLN LNDSCP TRAP (CENTRAL STONE),1" CLN LNDSCP TRAP,CENTRAL STONE,,1" CLN LNDSCP TRAP (CENTRAL STONE),
295,1,RIP RAP (ARAB),RIP RAP,ARAB,,RIP RAP (ARAB),
296,1,1" CLN BLK LNDSCAPE (CS),1" CLN BLK LNDSCAPE,CS,,1" CLN BLK LNDSCAPE (CS),
297,1,TYPE 1/5,TYPE 1/5,,,TYPE 1/5,
299,1,RAP (PB),RAP,PB,,RAP (PB),
300,1,SHINGLES (ARAB),SHINGLES,ARAB,,SHINGLES (ARAB),
301,1,HRLY ASPH (HEAVY HAUL),ASPHALT,HEAVY HAUL,HOURLY,ASPHALT (HEAVY HAUL) (HOURLY),
305,1,1 1/8 LNDSCP BLND (BK),1 1/8 LNDSCP BLND,BK,,1 1/8 LNDSCP BLND (BK),
309,1,ADJ-ERROR,ADJ-ERROR,,,ADJ-ERROR,
316,1,TIRE,TIRE,,,TIRE,
319,1,HOURLY (CALIBRATE),CALIBRATE,,HOURLY,CALIBRATE (HOURLY),
323,1,MISTAKE ON WRONG RATE FOR INVOICE#17863,MISTAKE ON WRONG RATE FOR INVOICE#17863,,,MISTAKE ON WRONG RATE FOR INVOICE#17863,
324,1,DIRT (MATERIAL ONLY),DIRT,,MATERIAL ONLY,DIRT (MATERIAL ONLY),
325,1,RED LIME (SPREADING ONLY),RED LIME,,SPREADING,RED LIME (SPREADING),
326,1,WHITE LIME (SPREADING ONLY),WHITE LIME,,SPREADING,WHITE LIME (SPREADING),
329,1,TRADE (HAY BALES),TRADE,HAY BALES,,TRADE (HAY BALES),
342,1,ASPHALT 614,ASPHALT 614,,,ASPHALT 614,
345,1,RAP  PB 614,RAP  PB 614,,,RAP  PB 614,
349,1,COLT R&L (MAT/HAUL/SPRDNG),COLT R&L,,HAULING AND SPREADING,COLT R&L (HAULING AND SPREADING),
354,1,3/8 CHIPS,3/8 CHIPS,,,3/8 CHIPS,
355,1,HOURLY (REMOVING ASPHALT),REMOVING ASPHALT,,HOURLY,REMOVING ASPHALT (HOURLY),
379,1,CLAY STRIPPING (WS),CLAY STRIPPING,WS,,CLAY STRIPPING (WS),
382,1,HOURLY (DRIVWAY REPAIR & SHOULDER ROCK,(DRIVWAY REPAIR & SHOULDER ROCK,,HOURLY,(DRIVWAY REPAIR & SHOULDER ROCK (HOURLY),
402,1,FR 1/2" DOLOMITE (SEMO),FR 1/2" DOLOMITE,SEMO,,FR 1/2" DOLOMITE (SEMO),
406,1,1/4" MINUS,1/4" MINUS,,,1/4" MINUS,
418,1,OVERSIZE GRAVEL (WS),OVERSIZE GRAVEL,WS,,OVERSIZE GRAVEL (WS),
420,1,HOURLY (MOVING LIME GRAIN BINS TO FLD),MOVING LIME GRAIN BINS TO FLD,,HOURLY,MOVING LIME GRAIN BINS TO FLD (HOURLY),
429,1,SHOW UP/ MILL & FILL,SHOW UP/ MILL & FILL,,,SHOW UP/ MILL & FILL,
438,1,Pea Gravel (DRTY) DXTR (Material Only),PEA GRAVEL,DRTY,MATERIAL ONLY,PEA GRAVEL (DRTY) (MATERIAL ONLY),
439,1,Pea Gravel (CLN) DXTR SND (Material Only),PEA GRAVEL,CLN,MATERIAL ONLY,PEA GRAVEL (CLN) (MATERIAL ONLY),
441,1,1" MINUS (GRAY'S POINT) HAULING ONLY,1" MINUS,GRAY'S POINT,HAULING,1" MINUS (GRAY'S POINT) (HAULING),
443,1,HUB OIL (NAPA),HUB OIL,NAPA,,HUB OIL (NAPA),
450,1,SLATE LANDSCAPING ROCK (SEMO Land Designs),SLATE LANDSCAPING ROCK,SEMO LAND DESIGNS,,SLATE LANDSCAPING ROCK (SEMO LAND DESIGNS),
459,1,MISC,MISC,,,MISC,
467,1,HOURLY EXCAVATOR,EXCAVATOR,,HOURLY,EXCAVATOR (HOURLY),
473,1,1/4" MINUS (STOCKPILE),1/4" MINUS,,,1/4" MINUS,context_tag:STOCKPILE
483,1,HOURLY (CURB MIX),CURB MIX,,HOURLY,CURB MIX (HOURLY),
487,1,1" CLEAN LANDSCAPE BLK (BUTLER HILL),1" CLEAN LANDSCAPE BLK,BUTLER HILL,,1" CLEAN LANDSCAPE BLK (BUTLER HILL),
493,1,HOURLY (CAREER DAY),CAREER DAY,,HOURLY,CAREER DAY (HOURLY),
495,1,HOURLY (COAL HAUL),COAL HAUL,,HOURLY,COAL HAUL (HOURLY),
498,1,8" BASE ROCK (BW),8" BASE ROCK,BW,,8" BASE ROCK (BW),
502,1,1" CLEAN WASH ROCK (BLUEWING-DON),1" CLEAN WASH ROCK,BLUEWING-DON,,1" CLEAN WASH ROCK (BLUEWING-DON),
507,1,AG LIME (MAT, HAUL, SPRD) STOCKPILE,AG LIME,,HAULING AND SPREADING,AG LIME (HAULING AND SPREADING),trailing_context:STOCKPILE
510,1,1/2" MINUS (CAPE QUARRY),1/2" MINUS,CAPE QUARRY,,1/2" MINUS (CAPE QUARRY),
512,1,8" CLN (CAP QUARRIES) Material Only,8" CLN,CAP QUARRIES,MATERIAL ONLY,8" CLN (CAP QUARRIES) (MATERIAL ONLY),
513,1,WASHED PEA GRAVEL (ICM-DONIPHAN),WASHED PEA GRAVEL,ICM-DONIPHAN,,WASHED PEA GRAVEL (ICM-DONIPHAN),
514,1,1" CLEAN (ICM-DONIPHAN),1" CLEAN,ICM-DONIPHAN,,1" CLEAN (ICM-DONIPHAN),
516,1,COW MANURE,COW MANURE,,,COW MANURE,
518,1,CLAY BASE (ICM-ARAB),CLAY BASE,ICM-ARAB,,CLAY BASE (ICM-ARAB),
519,1,HOURLY (ASPHALT/CLEAN UP),ASPHALT/CLEAN UP,,HOURLY,ASPHALT/CLEAN UP (HOURLY),combo_activity
520,1,HOURLY (INTERSECTION),INTERSECTION,,HOURLY,INTERSECTION (HOURLY),
474,0,1/4,1/4,,,1/4,